title,brand,description,price/currency,price/value,stars,reviewsCount
TOODOO 4 Pairs Men Polarized Sunglasses with UV Protection Driving Glasses Sports for Sport Outdoor Activities,TOODOO,,,,3.9,4539.0
DUCO Men's Luxury Carbon Fiber Temple Polarized Sunglasses for Men Sports UV400 DC8206,DUCO,,,,4.3,14106.0
"GloFX Ultimate Diffraction Glasses - 3D Prism Rainbow Effect - Great Edm, Concert, and Rave Accessory",GloFX,,,,4.4,2233.0
ADE WU Rectangle Sunglasses for Women Men Retro 90s Sunglasses Trendy Black Tortoise Shell Glasses Y2K,ADE WU,,,,4.6,4673.0
CARFIA Polarized Men's Sunglasses UV400 Protection for Driving Fishing Hiking Golf Outdoor Sport Glasses,CARFIA,,,,4.6,3414.0
Outray Night Vision Polarized Aviator Sunglasses for Driving,Outray,,$,11.57,4.1,2508.0
GOBIGER Aviator Sunglasses for Men 100% UV Protection Goggle Alloy Frame with Case,GOBIGER,"About Gobiger:  Gobiger loves the sunshine, fashion, and of course cool.  We design each of our sunglasses with comfort, high quality, and spirituality in mind to fit your lifestyle.  Our name was inspired by a word of Chinese ‘gou bi ger’. It means cool , graceful, individualized, handsome etc.  Details:  Frame:  -full frame -stainless steel: durable, cost-effective, environmental protection -square -comfortable metal nosepad Lens:  -Lens material:PC -REVO lens. Revo lenses are scratch and impact resistant and fooer perfect clarity of vision -UV400 PROTECTION: harmful UV rays are blocked, only useful visible rays enter your eyes Dimentions:  -Frame total: 147mm=5.9inch -Lens height: 55mm=2.2inch -Lens width: 59mm=2.3inch -Bridge: 24mm=0.9inch -Temple length: 124mm=4.9inch Features and benefits:  -Reduce surface reflections -Durable and lightweight frame -Scratch resistant lens -UV protection lens -Easy to clean -Fashion and stylish design cool sunglasses for mens and womens Care:  To avoid damage, never clean your sunglasses with clothing, and also avoid using household detergents. To cleaning your sunglasses, use water and soap avoiding all types of solvents or alcohol. Use only original accessories and apare parts Package includes:  1*Glasses 1*Glasses case  1*Glasses cloth",$,14.99,4.3,7130.0
Oakley Men's OO9096 Fuel Cell Wrap Sunglasses,Oakley,"We’ve been toying with a mix of art and technology for some time. The idea was to create clean, authentic style for those who don’t just walk the path of life – they stomp it and leave footprints. That’s what led to Oakley fuel cell. The idea here is unflinching originality and a smooth look. It’s proof that when authenticity speaks for itself, it speaks with volume.Oakley was created for world-class athletes, those who see the limits of possibility as just another challenge. Their dedication drives the brand to look beyond the conventional ideas of industry standards. It's in Oakley's DNA to identify problems, create inventions, and wrap those inventions in art. And simply to make things better than anyone thought possible. Decades of Oakley innovation have been awarded more than 540 patents that elevate physics to the level of art. Technologies transcend sports to enhance the lives of consumers, and more than 110 countries now enjoy a full array of market-leading products including premium sunglasses, goggles, prescription eyewear, apparel, footwear and accessories. These products represent Oakley's commitment to excellence - a passion that redefines what is possible for those who defy their own limits. The Iconic Oakley Fuel CellOakley has been toying with a mix of art and technology for some time. The idea was to create clean, authentic style for those who don’t just walk the path of life – they stomp it and leave footprints. That’s what led to Oakley Fuel Cell. The idea here is unflinching originality and a smooth look. It’s proof that when authenticity speaks for itself, it speaks with volume. The two lenses are cut from a single shield of optically pure Plutonite® then placed in the frame to maintain the original, continuous contour. An innovation of High Definition Optics® (HDO®), Polaric Ellipsoid™ lens geometry extends clarity all the way to your peripheral view, exceeding ANSI Z87.1 optical standards. Impact protection meets ANSI Z87.1 basic standards while UV filtering is an unbeatable 100% for every single ray of UVA, UVB and UVC. The lens curvature and frame architecture improve side protection, and durable yet lightweight O Matter® frame material maximizes comfort with a perfect Three-Point Fit.Oakley HDPolarized lenses are an option for Fuel Cell, and they block 99% of those irritating rays that interfere with vision. You’ll also see “Iridium®” in the list of optional lenses. It’s a permanent coating that tunes and balances light while reducing glare. Lens:Dual lens Polaric Ellipsoid™ geometryDual lens Polaric Ellipsoid™ geometryOptical precision and impact resistance meet or exceed Z87.1 optical and basic impact standardsOptical precision and impact resistance meet or exceed Z87.1 optical and basic impact standardsUV protection of Plutonite® lens material that filters out 100% of UVA/ UVB/ UVC & harmful blue light up to 400nmUV protection of Plutonite® lens material that filters out 100% of UVA/ UVB/ UVC & harmful blue light up to 400nmGlare reduction and tuned light transmission of Iridium® lens coating (optional) Glare reduction and tuned light transmission of Iridium® lens coating (optional)  Frame:Durability and all-day comfort of lightweight, stress resistant O Matter® frame materialDurability and all-day comfort of lightweight, stress resistant O Matter® frame materialComfort and performance of Three-Point Fit that holds lenses in precise optical alignmentComfort and performance of Three-Point Fit that holds lenses in precise optical alignmentMetal icon accentsMetal icon accents  High Definition Optics UV Protection Impact Protection Premium Frame Materials  Fuel Cell HDO is a combination of technologies and patented innovations that give you clearer, sharper, and more accurate vision. HDO virtually eliminates distortion common in high-wrapped sunglasses. Fuel Cell Plutonite filters out 100% of UVA, UVB, UVC, and harmful blue light up to 400nm. Fuel Cell lenses are tested under extreme circumstances to guarantee superior portection against objects at varying speeds that no other lens offers. Oakley has sought out the best materials to design and engineer all frames to provide the ultimate in performance, comfort, and design. Oakley was created for world-class athletes, those who see the limits of possibility as just another challenge. Their dedication drives the brand to look beyond the conventional ideas of industry standards. It's in Oakley's DNA to identify problems, create inventions, and wrap those inventions in art. And simply to make things better than anyone thought possible. Decades of Oakley innovation have been awarded more than 540 patents that elevate physics to the level of art. Technologies transcend sports to enhance the lives of consumers, and more than 110 countries now enjoy a full array of market-leading products including premium sunglasses, goggles, prescription eyewear, apparel, footwear and accessories. These products represent Oakley's commitment to excellence - a passion that redefines what is possible for those who defy their own limits.See more",,,4.7,5331.0
phikttu Classic Aviator Sunglasses for Men Women Retro Trendy Driving Sun glasses Polarized Lens UV Blocking,phikttu,,$,9.99,4.5,703.0
NIEEPA Men's Sports Polarized Sunglasses Square Frame Glasses NP1007,NIEEPA,,,,4.4,6540.0
